epoch,loss
0,0.010688192630069518
1,0.011007278581801326
2,0.010664968171908734
3,0.010860857393983637
4,0.010422390615500378
5,0.010863721424029185
6,0.010880221601932855
7,0.01073236528479779
8,0.010705949977953853
9,0.010308872609929026
10,0.010782821213459153
11,0.011029369462028754
12,0.01079420965734578
13,0.010415486886577414
14,0.010587737036367036
15,0.010803745370633494
16,0.01078227620851255
17,0.010582058992307325
18,0.010929648432445116
19,0.010694439802917085
20,0.010498549325100389
21,0.010717539440575343
22,0.010490350191254863
23,0.010517810616350652
24,0.010689049937565698
25,0.011026810208595651
26,0.010763210787100807
27,0.010417402186359481
28,0.010639451566248825
29,0.010776881023065133
30,0.010878394056480525
31,0.010573880281132292
32,0.010651258458463847
33,0.010540688024184654
34,0.010886227138045955
35,0.010536733144708963
36,0.010478033307784742
37,0.010611479219524923
