,name,psnr
0,Places365_val_00000001_noise,26.853832299315933
1,Places365_val_00000002_noise,26.678500677890934
2,Places365_val_00000003_noise,26.79212532230568
3,Places365_val_00000004_noise,26.69863301841879
4,Places365_val_00000005_noise,27.398639390179408
5,Places365_val_00000006_noise,26.585268669901648
6,Places365_val_00000007_noise,25.434104736390942
7,Places365_val_00000008_noise,26.706166230105033
8,Places365_val_00000010_noise,26.778062476913284
9,Places365_val_00000011_noise,26.757923011046163
10,Places365_val_00000012_noise,27.37123747353182
11,Places365_val_00000013_noise,26.524241525157855
12,Places365_val_00000014_noise,26.655905242586947
13,Places365_val_00000015_noise,26.337441341858142
14,Places365_val_00000016_noise,26.792906093717917
15,Places365_val_00000018_noise,26.385239441158525
16,Places365_val_00000019_noise,26.81579612059761
17,Places365_val_00000020_noise,26.990094338140832
18,Places365_val_00000021_noise,26.537420498053734
19,Places365_val_00000022_noise,26.776450690828455
20,Places365_val_00000023_noise,27.43116522461708
21,Places365_val_00000024_noise,26.263728444303464
22,Places365_val_00000025_noise,27.90855373025987
23,Places365_val_00000026_noise,26.284966256329405
24,Places365_val_00000027_noise,26.55133154760922
25,Places365_val_00000028_noise,26.231988081623502
26,Places365_val_00000029_noise,29.544996336445976
27,Places365_val_00000030_noise,27.0208344818976
28,Places365_val_00000031_noise,27.151265326399812
29,Places365_val_00000033_noise,25.967207691223745
30,Places365_val_00000034_noise,26.591385636527956
31,Places365_val_00000035_noise,27.626895560463932
32,Places365_val_00000036_noise,26.252732932773412
33,Places365_val_00000037_noise,26.25678581890385
34,Places365_val_00000038_noise,27.08723900164977
35,Places365_val_00000039_noise,26.964461803451947
36,Places365_val_00000041_noise,26.48485813666447
37,Places365_val_00000042_noise,26.92641982074008
38,Places365_val_00000043_noise,28.237264095101636
39,Places365_val_00000044_noise,26.032423870861553
40,Places365_val_00000045_noise,26.435193071622866
41,Average,26.807845987013923
