,name,psnr
0,test016_noise,21.078420519513813
1,test017_noise,23.704317405644662
2,test018_noise,24.195853401202193
3,test019_noise,24.0134087788664
4,test020_noise,22.796330294992092
5,test021_noise,21.79403866309756
6,test022_noise,21.360583557576067
7,test023_noise,22.701798617779655
8,test024_noise,23.895087540877654
9,test025_noise,24.284342403821295
10,test026_noise,22.8684968372542
11,test027_noise,20.809258014550135
12,test028_noise,21.803318166322377
13,test029_noise,24.66520483617266
14,test030_noise,24.456516295297092
15,Average,22.961798355531187
