,name,psnr
0,test001_noise,21.558514478552738
1,test002_noise,21.845296866945965
2,test003_noise,20.817682321334047
3,test004_noise,20.776969124171274
4,test005_noise,21.943953605694944
5,test006_noise,21.177280388903146
6,test007_noise,21.018100908015477
7,test008_noise,21.53007159477105
8,test009_noise,21.064961198966557
9,test010_noise,20.84520682039258
10,test011_noise,21.22024927591817
11,test012_noise,21.046746463764254
12,test013_noise,20.815481404737568
13,test014_noise,20.76479486025397
14,test015_noise,21.30418138003052
15,Average,21.181966046163485
